Scott Uneberg,2021年6月1日 在美国审核,Great enclosure!,This enclosure was so good， I bought another one the next day. It's easy to open， but it stays shut when it's supposed to. Others I have tried would slide open too easily， when you didn't want them to. I use Linux and Windows， and this enclosure was recognized right away in both.The benchmark that I showed was through a USB3 hub， so the performances is definitely as expected.,5.0 颗星，最多 5 颗星
Andrew,2021年6月25日 在美国审核,Quality shell,I love this! I have been struggling to find an adapter that was actually going to protect the SSD card that I used. The plug in is quality and shows no sign of wear and tear from plugging in and out.,5.0 颗星，最多 5 颗星
Tammy T,2021年4月24日 在美国审核,Easy to use, This is super nice with a dark-grey color to match my other adapters. Nice design and good quality.,5.0 颗星，最多 5 颗星
Victor Grinberg,2021年6月7日 在美国审核,Mut have tool.,I used it with NVME (WD Blue) and SATA (Samsung) SSDs. Both worked flawless.I gave the "Ease of Use" 4 stars， this is only because if you have fat fingers (like mine) it is not easy to twist the plastic button - but that is just a small inconvenience.The device is recognized and ready to use immediately under Windows and Linux.I was able to boot from attached SSD w/o any problem.,5.0 颗星，最多 5 颗星
Letting you know,2021年6月27日 在美国审核,Great product,Added the m.2 and the pc recognize it as soon as I connected it and was all to clone my other m.2 without any issues.,5.0 颗星，最多 5 颗星
kimmy,2021年7月29日 在美国审核,Very good product,Very good usb adapterToo bad my jetson nano arm64 kernel is too oldBut tested on x86 and works nicelyVery good customer service from seller,5.0 颗星，最多 5 颗星
Certified buyer,2021年8月2日 在美国审核,Fancy and smooth adapter and perfect for mac and windows,This has been a perfect selection for me and it works like a charm for my both laptops mac and windows. The speed is very good and can’t even recognize that it’s adapter or my laptop hard disk.It has a nice look and size is also small， you can carry everywhere and perfect if you are a traveller.Very happy with this product,5.0 颗星，最多 5 颗星
Sergio K.,2021年10月16日 在美国审核,Used for cloning SSD to NVME， worked fine!,Liked the "no screw" approach. Works as expected.,5.0 颗星，最多 5 颗星
mardonaj47,2021年6月20日 在美国审核,Worked like a charm,Used it on both SATA and NVMe M.2 2280 SSDs and it worked great. Very practical and well made device.,5.0 颗星，最多 5 颗星
john palacio,2021年4月26日 在美国审核,Cool and Sleek,A very cool and sleek item that offers a great way to repurpose your solid state drives， highly recommend it!,5.0 颗星，最多 5 颗星
Cristobalier ,2021年7月23日 在美国审核,Buena calidad,Es de buena calidad， pero las instrucciones no indican cómo poner la pasta térmica， por otro lado funciona sin problemas.,4.0 颗星，最多 5 颗星
Seth,2021年4月27日 在美国审核,Quality enclosure at a low cost, This tool-free enclosure is very easy to use and easy to swap out different NVME drives. It comes with USB-C to USB-C and also USB-C to USB-A cord so you can use this enclosure with newer USB-C ports on your device or older USB-A ports.,5.0 颗星，最多 5 颗星
John Alkire,2021年6月30日 在美国审核,Just what I needed!,This works perfectly for me. Great that you don't need a screwdriver to add and remove drives. I had to return another enclosure because it was NVMe only--glad that this supports SATA as well.,5.0 颗星，最多 5 颗星
steelj46,2021年7月13日 在美国审核,M.2 NVMe SSD Enclosure Adapte,Well built and no tool design . This enclosure worked fine for me,5.0 颗星，最多 5 颗星
Bryan O. Wilson,2021年7月22日 在美国审核,Very nice.,Very nice.,5.0 颗星，最多 5 颗星
Amazon Customer,2021年9月20日 在美国审核,Works great， needs more than a plastic nub,The little plastic nub that holds the nvme drive broke but the thing over all works like a charm. Highly recommened.,5.0 颗星，最多 5 颗星
Jeff L.,2021年6月11日 在美国审核,Inexpensive and works,I've used this for a couple days now and have not had any issues. Easy to install my drive. Just slide open and insert. It was easy to open， but still didn't feel loose or insecure.,5.0 颗星，最多 5 颗星
Customer From SG,2021年6月15日 在美国审核,Metal casing， quality build， good Read/Write speed.,Quality is very well built. Metal enclosure will keep the SSD cool. Will offer some protection from external force for your ssd.Read Write speed is fast.Worth the money getting. No regrets.,5.0 颗星，最多 5 颗星
shaquelle,2021年7月3日 在美国审核,Easy and simple to use,It’s simple and very easy to use. I bought it because I had an SSD laying around and thought I’d tried it and I like it honestly， simple and does what it needs to so,5.0 颗星，最多 5 颗星
Batman,2021年5月29日 在美国审核,Cheapest value for money.,For the price I really can’t complain. Works great.,5.0 颗星，最多 5 颗星
Siddhant Agarwal,2021年4月30日 在美国审核,Good product, Works good. Comes with accessories as shown in these pictures,4.0 颗星，最多 5 颗星
Yener,2021年4月19日 在美国审核,5 stars, Very nice design， no driver， easy to use. Highly recommended.,5.0 颗星，最多 5 颗星
Basel,2021年6月15日 在美国审核,Absolute garbage,My Samsung 980 EVO pro doesn’t fit properly so it is not recognized and I can’t initialize the drive. Don’t know what the raving reviews are about but this thing is cheap and doesn’t work. DO NOT BUY.,1.0 颗星，最多 5 颗星
Vernon D Yoder,2021年8月24日 在美国审核,Amazing little device. I found it very easy to use. Didn't even need to look at the instructions.,This is a great product that is extremely is to use. It met my needs and every expection.,5.0 颗星，最多 5 颗星
DIEGO MEYER,2021年6月20日 在美国审核,Excelente producto,Excelente producto， vendedor recomendado,5.0 颗星，最多 5 颗星
Amazon Customer,2021年8月3日 在美国审核,Keep this in your toolkit,Very handy and useful to keep around,5.0 颗星，最多 5 颗星
Mark ,2021年8月26日 在美国审核,Works just like it’s supposed to,Would recommend this to anyone who has a use for it,5.0 颗星，最多 5 颗星
Amazon Customer,2021年6月19日 在美国审核,Good build,Easy set up,4.0 颗星，最多 5 颗星
J. Salce,2021年5月20日 在美国审核,A fair priced， tool-less NVMe - SATA SSD Enclosure that delivers.,The IFULL M.2 NVMe & SATA SSD Enclosure is low priced， considering that supports both NVMe PCIe and SATA M.2 SSDsThe IFULL M.2 NVMe & SATA SSD Enclosure has a simple tool-free design that works. Just push and slide to open it or close it and twist the little knob to secure the M.2 SSD. It could hold different sizes M.2 SSDs (2242， 2260 & 2280). No need to deal with those tiny SSDs screws that will eventually disappear when you must need them.If you work in a computer shop and you have to swap drives often， then you will be delighted by the simple and easy to use design. It takes seconds to get a M.2 install and running.This enclosure comes with both USB Type-C to Type-C and USB Type-C to Type-A cables and it is compatible with Windows， MacOS and Android systems.It works on several platforms， so it could help when cloning M.2 drives， backing up your data or even copying your smartphone pictures and files.The IFULLM.2 SSD Enclosure can reach high speeds with the right drive (NVMe) and the right standard (USB C 3.1 Gen 2)I was able to copy a 9.6GB video file in 5 seconds (8.5 Gbit/s) on NVMe connected to a USB 3.2 Gen2 port on a ASRock B550 motherboard. On SATA it reached write speeds of 498 MB/s.I used several systems with USB 3.0， 3.1 and 3.2 Gen2 on both Type A and Type C ports.Depending on the USB interface and the drive used， the transfer speed could vary significantly.The enclosure comes with thermal padding. I did not use it， since none of the drives went above 40°C even when transferring files.Drives used:SK Hynix Gold P31 M.2 PCIe NVMeIntel SSD Pro 2500 M.2 SATAMicron 1100 M.2 SATADevices used:MacBook Pro (2017)Dell Inspiron 13 7000Oneplus 7TSamsung Galaxy S10AMD Ryzen system with a ASRock B550 motherboard.,5.0 颗星，最多 5 颗星
L. Sweet,2021年7月10日 在美国审核,Worked great,The obvious use is to make an enormous， really fast USB drive. And for that purpose it works great.I had a more specific use. I was doing some system upgrades. One part of the upgrade was to replace my PCIe 3 2 TB NVMe drive with a faster PCIe 4 2 TB drive. The drive was my boot drive. Before upgrading I installed my new PCIe 4 drive into this enclosure. Plugged it in and the system recognized it instantly. I then used some drive cloning software to clone my old drive to the new drive.The cloning process ran without issue. Removed my new drive from this enclosure. Swapped out my old drive for my new drive， and my system booted right up. Fast and easyIt was simple to install the drive into the enclosure. Also easy to remove it when I was done. This is a very handy device for system builders.,5.0 颗星，最多 5 颗星
Dada,2021年7月28日 在美国审核,Fast transfer rates and solid construction， great product， seller offers compensation for reviews, I added a Samsung m2 drive in this recently to take along with me for recent trip so I could offload files from SD cards to this drive. The file transfers to the m2 drive with this enclosure were very fast and the included cables made for easy accessibility with many devices.Additionally， I like the machined， rounded， aluminum case that makes for easy packing amongst other equipment and helps with heat dissipation. I did not attach the included thermal strip to my m2 drive， which may have helped with heat dissipation as the case does get quite warm when in use.,4.0 颗星，最多 5 颗星
Juniorverse,2021年6月22日 在美国审核,The best external M.2 enclosure I have ever owned,I love the tool-free design of this thing. You simply hold down a "button" on the outside and slide to open it up， insert your drive， and turn a little plastic knob to hold the drive in place instead of those tiny screws. Slide the case back on and you're done! I used it in a USB 3.1 Gen 2 port on my motherboard and it is so fast， it feels as fast as the drive did when it was installed in my old computer. I couldn't have asked for a better enclosure. 5 stars all the way!,5.0 颗星，最多 5 颗星
Jerry,2021年7月15日 在美国审核,Great way to make an M.2 super portable.,It took me literally a minute or two to install my M.2 into this enclosure. Since then， I have had the ability to carry a high speed， high capacity drive around in my pocket， ready for use by simply plugging it into a USB3 or USB-C Thunderbolt port if one is available.It works great. A great price for such a useful tool. My drive is safe， cool and so easy to use. I am very happy with this enclosure. I give it 5 stars.,5.0 颗星，最多 5 颗星
uniq,2021年8月18日 在美国审核,Works well,This adapter is well designed for placing the memory board.No issues placing a memory board inside or subsequently replacing it， except for a bit tricky part of securing the other part of the memory board by inserting and turning a tiny black plastic screw (there are two of them in the package). Other than that， it's a good enclosure.,5.0 颗星，最多 5 颗星
Buchi,2021年7月13日 在美国审核,Fast transfer speeds in a sleek enclosure,I needed a device that was portable， holds a lot of storage， and can securely back up my data. This enclosure was the perfect casing for my SSD. It was the perfect size to slip into my bag and the transfer speeds are pretty great， too!,5.0 颗星，最多 5 颗星
JIM WILLOUR,2021年8月2日 在美国审核,Excellent product,Excellent product， consumer price friendly， and fast shipping. Many Thanks， Jim,5.0 颗星，最多 5 颗星
Jbelka25,2021年4月28日 在美国审核,Great little product, Very well made， easy to use. Would recommend.,5.0 颗星，最多 5 颗星
Yair Yakobson,2021年5月18日 在美国审核,Easy to use.,Easy to use and was fast delivered. Defintly would order it again,5.0 颗星，最多 5 颗星
Efra Ortiz,2021年7月3日 在美国审核,cumple con lo requerido,excelente cumple con lo requerido,5.0 颗星，最多 5 颗星
leoldv12,2021年5月19日 在美国审核,very good,easy to use.,5.0 颗星，最多 5 颗星
Fernando Armas,2021年7月24日 在美国审核,Excelente,Excelente de usar,5.0 颗星，最多 5 颗星
